Date,Total_Pop,Pop_5_24,Percent_5_24,Median_Age,Male_to_Female_Ratio,Pop_5_24_per1000,RUCA1,Income,Race,Total_Mobile_Home,No_English,Below_Poverty_Line,Percent_18_24_no_HS_diploma,Percent_No_HS_Diploma,Percent_Unemployment,NDVI,TMIN,TMAX,EHF,Above_95th,RH,Mental_Health,month,Day,TMAX_24hr_diff,TMIN_24hr_diff,loc,Region,log_Total_Pop_per1000
2016-06-30,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.01375,14.37625,29.2575,0,0,66.04375,72,6,30,0.0262499999999992,-0.35125,1,1,5.27275850387137
2016-07-01,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.465,16.3,28.38875,0,0,74.5575,49,7,1,-0.86875,1.92375,1,1,5.27275850387137
2016-07-02,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.57625,15.61125,30.09625,0,0,65.0225,42,7,2,1.7075,-0.688750000000001,1,1,5.27275850387137
2016-07-03,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.40875,16.75375,30.61125,0,0,66.51125,51,7,3,0.514999999999999,1.1425,1,1,5.27275850387137
2016-07-04,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.17875,18.945,31.47,0,0,66.37,57,7,4,0.858750000000001,2.19125,1,1,5.27275850387137
2016-07-05,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.0625,19.0275,30.94625,0,0,71.11625,65,7,5,-0.523750000000001,0.0824999999999991,1,1,5.27275850387137
2016-07-06,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.735,18.52625,30.035,0,0,73.515,60,7,6,-0.911249999999999,-0.501250000000001,1,1,5.27275850387137
2016-07-07,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.3625,17.6875,31.3125,0,0,67.53625,69,7,7,1.2775,-0.838749999999999,1,1,5.27275850387137
2016-07-08,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.26125,17.83625,29.015,0,0,73.25375,64,7,8,-2.2975,0.14875,1,1,5.27275850387137
2016-07-09,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.0975,17.43875,32.10375,0,0,65.2625,56,7,9,3.08875,-0.3975,1,1,5.27275850387137
2016-07-10,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.5025,17.14125,29.62,0,0,66.28375,61,7,10,-2.48375,-0.2975,1,1,5.27275850387137
2016-07-11,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.56125,16.1675,29.715,0,0,68.585,65,7,11,0.0950000000000006,-0.97375,1,1,5.27275850387137
2016-07-12,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.56125,17.09125,28.84125,0,0,73.66,56,7,12,-0.87375,0.923749999999999,1,1,5.27275850387137
2016-07-13,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.65375,16.45875,29.29375,0,0,73.1375,67,7,13,0.4525,-0.6325,1,1,5.27275850387137
2016-07-14,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.6,16.945,29.7325,0,0,72.37125,57,7,14,0.43875,0.48625,1,1,5.27275850387137
2016-07-15,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.46,17.31125,30.17375,0,0,69.205,68,7,15,0.44125,0.36625,1,1,5.27275850387137
